Year,word,word_type,relative_usage
2010,idiot,group 1,81.78984077
2010,moron,group 1,9.991746844
2010,nimrod,group 1,8.218412387
2010,nerd,group 2,34.86737372
2010,geek,group 2,50.04324374
2010,dork,group 2,15.08938254
2011,idiot,group 1,83.04233231
2011,moron,group 1,9.635416176
2011,nimrod,group 1,7.322251513
2011,nerd,group 2,35.20284056
2011,geek,group 2,49.56958828
2011,dork,group 2,15.22757116
2012,idiot,group 1,83.50447893
2012,moron,group 1,9.538045858
2012,nimrod,group 1,6.957475215
2012,nerd,group 2,35.81433107
2012,geek,group 2,48.92664459
2012,dork,group 2,15.25902434
2013,idiot,group 1,84.06412766
2013,moron,group 1,9.360647568
2013,nimrod,group 1,6.575224773
2013,nerd,group 2,36.60054648
2013,geek,group 2,48.48241056
2013,dork,group 2,14.91704297
2014,idiot,group 1,84.80832298
2014,moron,group 1,9.06077403
2014,nimrod,group 1,6.130902988
2014,nerd,group 2,37.63934138
2014,geek,group 2,47.64676652
2014,dork,group 2,14.7138921
2015,idiot,group 1,85.40370325
2015,moron,group 1,8.771262184
2015,nimrod,group 1,5.825034564
2015,nerd,group 2,38.43647957
2015,geek,group 2,47.17719078
2015,dork,group 2,14.38632964
2016,idiot,group 1,85.89788678
2016,moron,group 1,8.410234071
2016,nimrod,group 1,5.691879145
2016,nerd,group 2,39.49604161
2016,geek,group 2,46.60518936
2016,dork,group 2,13.89876903
2017,idiot,group 1,86.20234819
2017,moron,group 1,8.25216471
2017,nimrod,group 1,5.545487103
2017,nerd,group 2,40.1199063
2017,geek,group 2,46.24027834
2017,dork,group 2,13.63981536
2018,idiot,group 1,86.30219179
2018,moron,group 1,8.07715246
2018,nimrod,group 1,5.620655748
2018,nerd,group 2,41.0518102
2018,geek,group 2,45.6743542
2018,dork,group 2,13.27383561
2019,idiot,group 1,86.70490412
2019,moron,group 1,7.835752218
2019,nimrod,group 1,5.459343662
2019,nerd,group 2,41.70801452
2019,geek,group 2,45.4864247
2019,dork,group 2,12.80556078
